threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,roc_auc,utility
0.146,43,60,5,116,0.4174757281553398,0.8958333333333334,0.5695364238410596,0.7098214285714286,0.8893229166666666,1850.0
0.148,43,60,5,116,0.4174757281553398,0.8958333333333334,0.5695364238410596,0.7098214285714286,0.8893229166666666,1850.0
0.15,43,60,5,116,0.4174757281553398,0.8958333333333334,0.5695364238410596,0.7098214285714286,0.8893229166666666,1850.0
0.152,43,59,5,117,0.4215686274509804,0.8958333333333334,0.5733333333333334,0.7142857142857143,0.8893229166666666,1855.0
0.154,43,59,5,117,0.4215686274509804,0.8958333333333334,0.5733333333333334,0.7142857142857143,0.8893229166666666,1855.0
0.156,43,56,5,120,0.43434343434343436,0.8958333333333334,0.5850340136054422,0.7276785714285714,0.8893229166666666,1870.0
0.158,43,55,5,121,0.4387755102040816,0.8958333333333334,0.589041095890411,0.7321428571428571,0.8893229166666666,1875.0
0.16,43,55,5,121,0.4387755102040816,0.8958333333333334,0.589041095890411,0.7321428571428571,0.8893229166666666,1875.0
0.162,43,55,5,121,0.4387755102040816,0.8958333333333334,0.589041095890411,0.7321428571428571,0.8893229166666666,1875.0
0.164,43,55,5,121,0.4387755102040816,0.8958333333333334,0.589041095890411,0.7321428571428571,0.8893229166666666,1875.0
0.166,43,55,5,121,0.4387755102040816,0.8958333333333334,0.589041095890411,0.7321428571428571,0.8893229166666666,1875.0
0.168,43,55,5,121,0.4387755102040816,0.8958333333333334,0.589041095890411,0.7321428571428571,0.8893229166666666,1875.0
0.17,43,55,5,121,0.4387755102040816,0.8958333333333334,0.589041095890411,0.7321428571428571,0.8893229166666666,1875.0
0.17200000000000001,43,55,5,121,0.4387755102040816,0.8958333333333334,0.589041095890411,0.7321428571428571,0.8893229166666666,1875.0
0.17400000000000002,43,55,5,121,0.4387755102040816,0.8958333333333334,0.589041095890411,0.7321428571428571,0.8893229166666666,1875.0
0.176,43,55,5,121,0.4387755102040816,0.8958333333333334,0.589041095890411,0.7321428571428571,0.8893229166666666,1875.0
0.178,43,55,5,121,0.4387755102040816,0.8958333333333334,0.589041095890411,0.7321428571428571,0.8893229166666666,1875.0
0.18,43,50,5,126,0.46236559139784944,0.8958333333333334,0.6099290780141844,0.7544642857142857,0.8893229166666666,1900.0
0.182,43,49,5,127,0.4673913043478261,0.8958333333333334,0.6142857142857143,0.7589285714285714,0.8893229166666666,1905.0
0.184,43,49,5,127,0.4673913043478261,0.8958333333333334,0.6142857142857143,0.7589285714285714,0.8893229166666666,1905.0
0.186,43,49,5,127,0.4673913043478261,0.8958333333333334,0.6142857142857143,0.7589285714285714,0.8893229166666666,1905.0
0.188,43,48,5,128,0.4725274725274725,0.8958333333333334,0.6187050359712231,0.7633928571428571,0.8893229166666666,1910.0
0.19,42,46,6,130,0.4772727272727273,0.875,0.6176470588235294,0.7678571428571429,0.8893229166666666,1870.0
0.192,42,46,6,130,0.4772727272727273,0.875,0.6176470588235294,0.7678571428571429,0.8893229166666666,1870.0
0.194,42,46,6,130,0.4772727272727273,0.875,0.6176470588235294,0.7678571428571429,0.8893229166666666,1870.0
0.196,42,46,6,130,0.4772727272727273,0.875,0.6176470588235294,0.7678571428571429,0.8893229166666666,1870.0
0.198,42,46,6,130,0.4772727272727273,0.875,0.6176470588235294,0.7678571428571429,0.8893229166666666,1870.0
0.2,42,46,6,130,0.4772727272727273,0.875,0.6176470588235294,0.7678571428571429,0.8893229166666666,1870.0
0.202,42,46,6,130,0.4772727272727273,0.875,0.6176470588235294,0.7678571428571429,0.8893229166666666,1870.0
0.20400000000000001,42,46,6,130,0.4772727272727273,0.875,0.6176470588235294,0.7678571428571429,0.8893229166666666,1870.0
0.20600000000000002,42,46,6,130,0.4772727272727273,0.875,0.6176470588235294,0.7678571428571429,0.8893229166666666,1870.0
0.20800000000000002,42,45,6,131,0.4827586206896552,0.875,0.6222222222222222,0.7723214285714286,0.8893229166666666,1875.0
0.21,42,45,6,131,0.4827586206896552,0.875,0.6222222222222222,0.7723214285714286,0.8893229166666666,1875.0
0.212,42,45,6,131,0.4827586206896552,0.875,0.6222222222222222,0.7723214285714286,0.8893229166666666,1875.0
0.214,42,45,6,131,0.4827586206896552,0.875,0.6222222222222222,0.7723214285714286,0.8893229166666666,1875.0
0.216,42,41,6,135,0.5060240963855421,0.875,0.6412213740458015,0.7901785714285714,0.8893229166666666,1895.0
0.218,42,41,6,135,0.5060240963855421,0.875,0.6412213740458015,0.7901785714285714,0.8893229166666666,1895.0
0.22,42,41,6,135,0.5060240963855421,0.875,0.6412213740458015,0.7901785714285714,0.8893229166666666,1895.0
